	Item	FECHA INGRESO  INVENTARIO 	Nombre 	Peso  (ct) 	Color 	Calidad 	Cant.	Talla 	Medidas	Medidas	Imagen	 costo  T.madre 	 Precio COP	UBICACION 	ASESOR	ESTADO 	CAJA 
	57	23-nov-2025	Inventario  Molano	Plata	Verde Menta	Comercial  Fina 	1	0	largo Ancho	Anillo				 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	58	23-nov-2025	Inventario  Molano	Plata	Verde Menta	Comercial  Fina 	1	0	largo Ancho	Anillo				 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	59	23-nov-2025	Inventario  Molano	Plata	Verde Menta	Comercial  Fina 	1	0	largo Ancho	Anillo				 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	60	23-nov-2025	Inventario  Molano	Plata	Verde Menta	Comercial  Fina 	1	0	largo Ancho	Anillo				 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	68	23-nov-2025	L:A-23F Adan y Eva	0,95	Verde Limón 	Comercial  SuperFina 	2	Esmeralda	largo Ancho	4.4 5.0		$122,000	$305,000	ASESOR	Pablito	DISPONIBLE 	
		10-nov-2025	TOTALES	2.62			30.00						19,942,478.00	 BOBEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	70	23-nov-2025	L:A-105 Apolo	1,29	Verde Limón 	Comercial  Superior 	1	Esmeralda	largo Ancho	5,4 8.1		$483,750	$483,750	ASESOR	J.M.Escobar	DISPONIBLE 	
	71	23-nov-2025	L:A-105 Firmamento 	0,47	Verde Limón 	Comercial  Fina	1	Esmeralda	largo Ancho	4,2 6.2		$176,250	$176,250	 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	73	23-nov-2025	L:A-105 Ventana al cielo 	0,70	Verde Limón 	Comercial  Superior 	1	Esmeralda	largo Ancho	4,7 5.8		$262,500	$262,500	ASESOR	M.GOMEZ	DISPONIBLE 	
	78	24-nov-2025	L:A-104 Cleopatra	0.28	Verde Limón 	Comercial  Fina	1	Ovalo	largo Ancho	3.8 4.7		$198,000	$198,000	 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	79	24-nov-2025	L:A-104 Ojo de Afrodita	0.54	Verde Limón 	Comercial  Superior 	1	Ovalo	largo Ancho	4.5 5.5		$382,000	$382,000	ASESOR	J.M.Escobar	DISPONIBLE 	
	80	24-nov-2025	L:A-104 Grecia	0.68	Verde Limón 	Comercial  Superior 	1	Ovalo	largo Ancho	6.2 4.8		$472,000	$472,000	ASESOR	K.Michel Moreno	DISPONIBLE 	
	83	24-nov-2025	Dos  Luceritos	0.12	Verde Menta	Comercial  Fina	2	Redonda 	Diametro	2,7		$37,000	$92,500	ASESOR	M.GOMEZ	VENDIDA 	Legalizada
	8	31-oct-2025	Bambú 	0.83	Verde  Natural	Estandar	1	Cuadrada	largo Ancho	0.0 0.0			$299,000	ASESOR	M.Echeverry	DISPONIBLE 	
		10-nov-2025	TOTALES	2.45			9.00						2,366,000.00	 BOBEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	10	31-oct-2025	Jazmin	0.99	Verde Menta	Estandar	1	Esmeralda 	largo Ancho	0.0 0.0			$357,000	ASESOR	M.CAMPUZANO 	DISPONIBLE 	
	17	31-oct-2025	Mistica 	0.38	Verde Limón 	Comercial  Fina	1	0	largo Ancho	0.0 0.0			$154,000	ASESOR	JM.ESCOBAR	DISPONIBLE 	
	18	31-oct-2025	Pachitas	0.74	Verde Limón 	Comercial  Fina	2	Cuadrada	largo Ancho	0.0 0.0			$299,000	ASESOR	M.CAMPUZANO 	DISPONIBLE 	
	20	31-oct-2025	2 Pinticas	0.73	Verde Limón 	Comercial  superior	2	Esmeralda	largo Ancho	0.0 0.0			$270,000	ASESOR	KEVIN- HERMANO 	DISPONIBLE 	
	23	31-oct-2025	Guajira	0.58	Verde Limón 	Estandar	1	Redonda	largo Ancho	0.0 0.0			$195,000	ASESOR	M.CAMPUZANO 	DISPONIBLE 	
	29	11-nov-2025	Hijos del sol	1.73	Verde Limón 	Comercial  Superfina 	2	Esmeralda	largo Ancho	6,2 5,4			$862,000	ASESOR	K.PINEDA	DISPONIBLE 	
	30	11-nov-2025	Amor Eterno	1.08	Verde Limón 	Comercial  Superfina 	2	Esmeralda	largo Ancho	6,2 4.3			$625,000	ASESOR	M.ECHEVERRY	DISPONIBLE 	
	38	11-nov-2025	Infinito	0.5	Verde Limón 	 Comercial  Final	1	Cuadrada	largo Ancho	4,8 4,8			$240,000	ASESOR	M.ECHEVERRY	DISPONIBLE 	
			TOTALES	6.73			12.00						3,002,000.00	 BOBEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	42	13-nov-2025	Anillo de Plata ARE	Plata	Verde Menta	Plata - comercial	2	0	largo Ancho	Anillo			$6,004,000	ASESOR	D.Suarez	DISPONIBLE 	
	48	15-nov-2025	Anillo Con Dorado ARE	Plata	Verde Menta	Plata - comercial	1	0	largo Ancho	Anillo			$380,000	ASESOR	K.PINEDA	DISPONIBLE 	
	12	31-oct-2025	Baby Green	0.46	Verde Limón 	Comercial  superior	1		largo Ancho	0.0 0.0			$170,000	ASESOR	A.MOLANO	VENDIDA 	Pte legalizar  8 dic-2025
	15	31-oct-2025	Madre Selva	0.75	Verde Limón 	Comercial  Fina	1	Cuadrada	largo Ancho	0.0 0.0			$303,000	ASESOR	A.MOLANO	VENDIDA 	Pte legalizar  8 dic-2025
	16	31-oct-2025	Pacífico	0.55	Verde Limón 	Comercial  Fina	1	Cuadrada	largo Ancho	0.0 0.0			$222,000	ASESOR	A.MOLANO	VENDIDA 	Pte legalizar  8 dic-2025
	21	31-oct-2025	Dualidad	1.63	Verde Limón 	Estandar	2	Cuadrada	largo Ancho	0.0 0.0			$548,000	ASESOR	A.MOLANO	VENDIDA 	Pte legalizar  8 dic-2025
